6KminI,6KminT,8KminI,8KminT,10KminI,10KminT,12KminI,12KminT,15KminI,15KminT,20KminI,20KminT,25KminI,25KminT,30KminI,30KminT,40KminI,40KminT,50KminI,50KminT,65KminI,65KminT,80KminI,80KminT,100KminI,100KminT,140KminI,140KminT,200KminI,200KminT,6KtotI,6KtotT,8KtotI,8KtotT,10KtotI,10KtotT,12KtotI,12KtotT,15KtotI,15KtotT,20KtotI,20KtotT,25KtotI,25KtotT,30KtotI,30KtotT,40KtotI,40KtotT,50KtotI,50KtotT,65KtotI,65KtotT,80KtotI,80KtotT,100KtotI,100KtotT,140KtotI,140KtotT,200KtotI,200KtotT,6TminI,6TminT,8TminI,8TminT,10TminI,10TminT,12TminI,12TminT,15TminI,15TminT,20TminI,20TminT,25TminI,25TminT,30TminI,30TminT,40TminI,40TminT,50TminI,50TminT,65TminI,65TminT,80TminI,80TminT,100TminI,100TminT,140TminI,140TminT,200TminI,200TminT,6TtotI,6TtotT,8TtotI,8TtotT,10TtotI,10TtotT,12TtotI,12TtotT,15TtotI,15TtotT,20TtotI,20TtotT,25TtotI,25TtotT,30TtotI,30TtotT,40TtotI,40TtotT,50TtotI,50TtotT,65TtotI,65TtotT,80TtotI,80TtotT,100TtotI,100TtotT,140TtotI,140TtotT,200TtotI,200TtotT
85.2293,0.072428,132.733,0.058416,156.858,0.072791,221.482,0.060739,295.109,0.057893,341.84,0.072718,399.951,0.086539,529.717,0.075233,659.408,0.082648,926.434,0.06862,1053.99,0.079885,1718.73,0.051966,1610.56,0.092628,2862.18,0.075384,4168.62,0.086279,1253.05,0.013826,1070.99,0.014608,1138.35,0.015189,1415.64,0.01525,1636.54,0.015825,2141.67,0.015778,2548.7,0.016096,3426.66,0.015809,3802.22,0.016193,4114.78,0.017385,4426.39,0.018682,4695.41,0.022322,5230.91,0.024571,5998.95,0.038038,5320.59,0.088818,133.9338,0.08190741,211.9489,0.06092167,267.0257,0.07185062,347.7015,0.07286361,467.0069,0.06924073,603.8608,0.06739623,709.3461,0.08028554,963.279,0.07063948,1121.411,0.08465547,1379.316,0.08872925,1803.244,0.08339511,2417.144,0.07242773,3217.441,0.06652575,4524.857,0.07767936,4430.826,0.2012588,1928.2,0.013938,2000.88,0.014248,2631.58,0.014362,2917.09,0.014711,3454.18,0.015008,3723.21,0.015543,4347.43,0.015936,4887.03,0.016803,4877.27,0.01887,5056.05,0.021383,5363.33,0.024993,5299.35,0.031677,5488.12,0.041537,5035.86,0.107296,5158.19,0.229199
75.2899,0.092721,119.026,0.072355,140.8,0.090794,191.013,0.081499,269.979,0.06931,300.769,0.093746,358.29,0.107726,481.229,0.091249,596.657,0.101149,824.967,0.086539,932.942,0.101859,1558.28,0.063092,1421.32,0.119533,2613.22,0.090612,3828.93,0.102883,1169.51,0.013882,964.242,0.014963,1037.26,0.015527,1309.42,0.015527,1495.68,0.016258,2010.9,0.01608,2334,0.016636,3128.6,0.016258,3591.55,0.016586,3848.12,0.018058,4135.4,0.019582,4377.97,0.02375,4955.93,0.025935,5740.72,0.04035,4950.98,0.101149,124.2562,0.09487781,196.0452,0.07120687,236.8305,0.09088454,304.4006,0.09563989,422.143,0.08406494,538.7997,0.08474016,646.3516,0.09650454,873.356,0.08559182,1013.681,0.1035019,1235.638,0.110453,1594.543,0.106654,2095.07,0.09650454,2958.217,0.07853854,4098.357,0.09478299,4110.67,0.2338294,1796.04,0.014035,1874.95,0.014391,2456.12,0.014492,2711.72,0.014933,3236.8,0.01525,3362.16,0.015984,4098.35,0.016242,4552.08,0.017315,4584.06,0.019699,4704.81,0.022728,5071.24,0.026432,4843.25,0.035114,5173.68,0.045132,4690.71,0.120976,4681.34,0.276606
65.9796,0.120493,107.377,0.089174,128.296,0.109463,171.287,0.101554,247.236,0.082318,266.225,0.120132,319.368,0.136127,439.371,0.109026,528.13,0.128714,741.254,0.107082,843.317,0.124287,1421.32,0.076065,1241.83,0.156115,2374.02,0.109792,3523.96,0.122436,1060.33,0.014035,869.869,0.015311,949.887,0.015936,1212.38,0.015888,1372.43,0.016736,1858.16,0.016537,2156.71,0.017194,2862.18,0.016803,3395.95,0.017057,3613.17,0.018814,3875.15,0.020503,4005.17,0.025857,4667.32,0.027456,5444.39,0.043232,4584.06,0.116581,112.8823,0.1150757,179.5305,0.08448632,211.1027,0.1140447,265.4283,0.1252849,379.6859,0.1044376,490.4602,0.1023696,573.836,0.1221916,776.9247,0.1084826,914.4688,0.127433,1116.934,0.1350427,1450.035,0.1288425,1869.343,0.1210968,2692.814,0.09497275,3726.936,0.1141588,3738.133,0.2864581,1674.62,0.014148,1749.95,0.014564,2294.66,0.014652,2475.85,0.01525,3039.17,0.015481,3125.47,0.016372,3871.28,0.01657,4257.09,0.017914,4312.79,0.020524,4347.43,0.024254,4804.65,0.027871,4461.95,0.038923,4833.57,0.049829,4399.91,0.135178,4291.28,0.327207
58.1686,0.155181,96.9646,0.109136,116.203,0.132766,156.232,0.121826,225.957,0.099047,235.649,0.153023,284.105,0.172189,398.753,0.132369,471.229,0.162323,666.702,0.132634,767.657,0.149395,1292.51,0.091982,1103.61,0.199256,2178.39,0.13079,3201.39,0.151047,971.016,0.014191,781.6,0.015683,862.076,0.016454,1114.7,0.016356,1277.09,0.017177,1688.07,0.017194,2012.92,0.017736,2658.03,0.017333,3172.71,0.017665,3368.9,0.019818,3631.28,0.021576,3730.66,0.027677,4444.13,0.028806,5127.33,0.047068,4252.83,0.134638,105.567,0.1313139,166.7249,0.09796301,188.1699,0.1433933,238.2558,0.1550257,338.4392,0.1311827,450.4937,0.1218256,517.1556,0.1513494,700.8848,0.1325011,828.2734,0.1548708,1020.801,0.1613524,1325.232,0.1537904,1669.605,0.1518041,2446.325,0.1148458,3433.521,0.1342348,3362.169,0.3580214,1558.28,0.014262,1634.9,0.014726,2139.53,0.014814,2296.96,0.015512,2867.91,0.015699,2911.26,0.016854,3624.02,0.01704,3969.28,0.018552,4049.47,0.02149,4045.42,0.025883,4426.39,0.030374,4181.14,0.042546,4453.03,0.05635,4156.13,0.148501,3871.28,0.398853
51.8495,0.195506,87.825,0.133298,104.725,0.164942,141.648,0.147465,207.129,0.117989,210.681,0.191827,256.555,0.210944,360.086,0.163464,414.612,0.209054,588.951,0.170305,700.184,0.179216,1188.37,0.108809,968.107,0.257647,1977.01,0.162323,2955.25,0.181379,883.016,0.014391,703.694,0.016177,797.389,0.016905,1024.89,0.016922,1175.37,0.017825,1578.67,0.017665,1869.34,0.018386,2451.22,0.017932,2955.25,0.018386,3179.06,0.02073,3338.71,0.023257,3399.35,0.030496,4240.09,0.030283,4882.15,0.05038,3949.48,0.155959,96.9646,0.1553361,154.678,0.1134759,169.923,0.1754916,216.2305,0.1887817,299.2695,0.1681054,400.7526,0.1542525,467.0069,0.1855995,620.3871,0.170305,733.8785,0.197471,922.736,0.197471,1209.961,0.1852287,1477.849,0.1941423,2217.958,0.1398529,3188.614,0.155647,3036.138,0.445231,1439.91,0.014391,1525.9,0.014933,2018.96,0.014963,2133.12,0.015841,2658.03,0.016016,2730.77,0.017333,3450.73,0.017437,3678.79,0.019445,3817.46,0.022547,3704.64,0.028292,4069.76,0.033234,3871.28,0.047446,4123.02,0.063535,3929.79,0.165107,3595.15,0.46619
46.0324,0.248786,78.598,0.166599,96.7708,0.192403,130.235,0.174966,190.441,0.139434,191.971,0.230118,228.913,0.263379,327.125,0.197866,366.626,0.266292,520.268,0.218239,643.128,0.212638,1062.46,0.13681,843.317,0.337172,1774.62,0.2043,2797.1,0.20656,798.986,0.014637,645.06,0.016686,741.995,0.017437,966.173,0.017402,1106.92,0.018423,1488.22,0.018148,1734.27,0.01929,2262.76,0.01872,2741.72,0.019309,2984.96,0.021815,3094.37,0.024893,3116.11,0.033636,4033.3,0.031899,4634.76,0.05463,3656.79,0.182106,91.04426,0.176195,143.5015,0.1317084,152.5276,0.217368,194.2887,0.2338294,276.537,0.1966826,362.6159,0.1882162,414.198,0.235472,559.1087,0.2094723,645.0601,0.2561061,839.1113,0.2385531,1111.364,0.2202122,1327.885,0.241433,2031.119,0.1669328,2943.462,0.1826536,2714.443,0.5643043,1346.6,0.014535,1421.32,0.015144,1905.2,0.015174,1994.88,0.016145,2480.81,0.016389,2543.61,0.01795,3246.52,0.01795,3478.44,0.020218,3602.34,0.023703,3443.83,0.030587,3848.12,0.035609,3616.78,0.052488,3817.46,0.071851,3667.77,0.187278,3338.71,0.549272
43.0063,0.287606,71.2608,0.20247,89.9583,0.222871,119.145,0.209263,171.459,0.172361,178.1,0.268162,208.584,0.318172,295.699,0.242643,326.798,0.335155,463.749,0.275226,587.187,0.254574,959.433,0.167602,741.254,0.437289,1656.3,0.238077,2644.77,0.237839,724.399,0.014903,591.312,0.017315,684.948,0.018076,896.361,0.018058,1044.55,0.019098,1391.78,0.018814,1594.54,0.020421,2088.79,0.01966,2574.32,0.020198,2777.59,0.023257,2853.61,0.026912,2847.91,0.03721,3828.93,0.033838,4382.35,0.059656,3447.28,0.207181,85.22938,0.2010576,133.7999,0.1511981,138.1508,0.263642,174.9229,0.288759,245.5118,0.2487857,323.547,0.2364157,364.7982,0.3032606,497.3749,0.2652286,583.6747,0.3131219,764.5928,0.2870316,1011.655,0.2644341,1184.816,0.3029575,1825.013,0.2055299,2695.508,0.2175855,2426.832,0.7231338,1243.07,0.014726,1338.55,0.015388,1787.08,0.01545,1854.44,0.016553,2338.68,0.016753,2371.65,0.018645,3094.37,0.018423,3259.54,0.021107,3375.64,0.025168,3175.88,0.033368,3577.22,0.039001,3358.8,0.058768,3492.39,0.082896,3365.53,0.220874,3054.41,0.667537
40.0587,0.33549,64.9323,0.246557,84.2127,0.255595,110.205,0.244348,155.764,0.208636,166.391,0.30846,188.358,0.392522,262.262,0.308769,292.464,0.420563,416.69,0.341242,535.576,0.306002,859.493,0.208428,670.714,0.535175,1525.9,0.287032,2523.34,0.268431,660.068,0.01525,548.585,0.01786,643.128,0.018739,828.273,0.018965,971.987,0.020077,1292.51,0.01964,1480.8,0.021598,1945.63,0.020668,2414.72,0.021234,2610.61,0.024547,2592.4,0.029654,2597.59,0.041955,3667.77,0.035573,4118.9,0.065667,3302.19,0.228741,80.10561,0.227373,122.774,0.178679,127.2745,0.3090776,153.4455,0.3737521,223.2617,0.3014464,291.8805,0.2899163,320.3277,0.3921298,443.7868,0.3338169,524.9715,0.3870651,670.0442,0.3741261,915.3836,0.3233038,1064.588,0.3737521,1661.278,0.2492838,2488.268,0.2561061,2233.538,0.8657486,1145.2,0.014948,1254.31,0.015667,1674.62,0.015778,1749.95,0.016905,2229.07,0.01704,2215.74,0.019542,2865.05,0.019387,3024.01,0.022278,3144.28,0.027101,2970.07,0.036292,3355.45,0.042504,3122.35,0.066062,3262.8,0.092906,3097.47,0.25868,2842.22,0.779455
37.4627,0.388228,59.7606,0.293416,79.1501,0.289627,101.834,0.287032,143.071,0.24705,157.015,0.347093,175.975,0.453318,237.542,0.377886,272.147,0.488136,377.414,0.419722,490.46,0.365619,778.48,0.255084,611.762,0.651707,1390.39,0.352691,2414.72,0.301447,608.711,0.015589,508.947,0.018589,599.049,0.019562,766.123,0.020037,907.182,0.021107,1223.34,0.02034,1393.17,0.022728,1805.04,0.022012,2271.83,0.022367,2451.22,0.026039,2381.15,0.032642,2400.28,0.046646,3468.02,0.037886,3886.8,0.072283,3141.14,0.256619,75.66731,0.255339,112.2071,0.2139178,117.96,0.3605363,139.3997,0.4537713,203.4347,0.3623436,266.2258,0.3481358,281.5598,0.5075491,399.1528,0.4093592,476.9177,0.4671233,606.8876,0.4578737,845.851,0.3786426,960.3935,0.4634013,1500.183,0.3056963,2274.105,0.3078438,2105.572,0.9918727,1052.94,0.015265,1176.55,0.016,1585,0.016064,1659.61,0.017298,2116.12,0.017437,2072.15,0.020442,2698.2,0.020198,2774.82,0.023869,2958.21,0.028835,2785.94,0.039511,3144.28,0.046413,2902.54,0.07441,2859.32,0.116232,2853.61,0.302958,2692.81,0.873576
35.4934,0.43992,55.3317,0.345017,74.3918,0.330165,94.8546,0.331488,132.203,0.290206,145.961,0.404476,165.066,0.518839,215.367,0.462013,253.495,0.568269,337.763,0.528791,455.932,0.42564,714.329,0.303261,570.974,0.761732,1289.92,0.419303,2310.78,0.340561,557.991,0.01608,474.539,0.019542,564.163,0.020421,713.615,0.02117,841.632,0.022547,1153.25,0.021107,1318.62,0.023821,1679.65,0.02349,2133.12,0.023679,2260.5,0.028179,2178.39,0.036183,2198.08,0.053069,3292.3,0.040552,3704.64,0.078225,2984.96,0.291953,71.97696,0.2833243,100.5189,0.267359,106.3086,0.4434536,122.6513,0.586747,185.3684,0.4372886,233.7717,0.4510567,254.2568,0.6211632,369.5715,0.4770367,441.132,0.5465324,546.9426,0.5643043,769.1942,0.4565021,844.1611,0.6022025,1394.572,0.353044,2095.07,0.3637958,1984.937,1.137508,954.648,0.015652,1101.4,0.016389,1485.25,0.016438,1572.37,0.017718,2025.03,0.017771,1909.01,0.021749,2495.74,0.021297,2595,0.025269,2763.74,0.031174,2584.64,0.043711,2946.4,0.050886,2628.95,0.087234,2574.32,0.140413,2650.07,0.348484,2525.87,1.01393
